column,Accuracy_mean,Accuracy_lower,Accuracy_upper,Sensitivity_mean,Sensitivity_lower,Sensitivity_upper,Specificity_mean,Specificity_lower,Specificity_upper,Precision_mean,Precision_lower,Precision_upper,Recall_mean,Recall_lower,Recall_upper,F1_mean,F1_lower,F1_upper,Balanced.Accuracy_mean,Balanced.Accuracy_lower,Balanced.Accuracy_upper,model,Model,Prompt
one_word_P1,0.734871921182266,0.6995073891625616,0.7717569786535303,0.3142758351869995,0.24242424242424243,0.3930703275529865,0.8798821746461273,0.8486170480895252,0.9098815751166874,0.4742158681571129,0.3720406976744186,0.5714657738095238,0.3142758351869995,0.24242424242424243,0.3930703275529865,0.37708594289584074,0.29660232266164466,0.4571549636803873,0.5970790049165634,0.5566499778142274,0.6397477684295251,Gemini-Pro-Vision,Gemini Pro Vision,P1
one_word_P2,0.7635253682487725,0.7283142389525368,0.795417348608838,0.2674175358293294,0.2014364347448216,0.3333870967741935,0.9356259256825264,0.9103131654090334,0.9576860925513486,0.5905286607248058,0.4736552920763447,0.7000373134328357,0.2674175358293294,0.2014364347448216,0.3333870967741935,0.3670767570707752,0.2898427382053654,0.44037474731767995,0.601521730755928,0.5662219546693333,0.6359912825900246,Gemini-Pro-Vision,Gemini Pro Vision,P2
one_word_P3,0.6614661157024794,0.6264049586776859,0.6975206611570248,0.6412690389337634,0.5594348086124402,0.7181472372896938,0.6684600711894078,0.6239003237742831,0.7073515376458112,0.4025019129615423,0.3370119208277103,0.46008989251818805,0.6412690389337634,0.5594348086124402,0.7181472372896938,0.4939575207304797,0.42968903145326565,0.553719361151014,0.6548645550615856,0.6104467799572163,0.6956948084771928,Gemini-Pro-Vision,Gemini Pro Vision,P3
one_word_P4,0.699,0.6622322899505766,0.7364085667215815,0.5200608054642298,0.44154889228418637,0.6024844720496895,0.7608811829915421,0.7224738283596,0.7995496749533498,0.42905906543981764,0.3621324983520106,0.5028030815215457,0.5200608054642298,0.44154889228418637,0.6024844720496895,0.4694299299423164,0.4024749207411746,0.534088728556626,0.640470994227886,0.5950755241582731,0.6838742227883772,Gemini-Pro-Vision,Gemini Pro Vision,P4
one_word_P5,0.6825833333333333,0.6470179738562092,0.7206290849673203,0.6174229581360361,0.5441743364012271,0.6918842149262806,0.705058114921965,0.6622612948299953,0.7500270562770562,0.4199071892484421,0.3568276767802114,0.4838741935483871,0.6174229581360361,0.5441743364012271,0.6918842149262806,0.49921296217526895,0.43927875560174057,0.556438603958289,0.6612405365290005,0.6180988537597217,0.7023668076110292,Gemini-Pro-Vision,Gemini Pro Vision,P5
one_word_P6,0.7100767973856209,0.6748366013071896,0.7450980392156863,0.5465911682653083,0.47434210526315784,0.628052689180738,0.7667494303540944,0.7285018802041364,0.802660753880266,0.44792932566432225,0.3826344733873449,0.5136688341423207,0.5465911682653083,0.47434210526315784,0.628052689180738,0.4916733019143894,0.4320899470899471,0.5522840045620843,0.6566702993097013,0.6150095736492796,0.7004370957523307,Gemini-Pro-Vision,Gemini Pro Vision,P6
one_word_P7,0.6859281045751634,0.6470588235294118,0.7222222222222222,0.6937609169675383,0.6196941021126761,0.7638888888888888,0.6831799226660612,0.6410587113129058,0.7266569997892688,0.4292666384611938,0.3703590785907859,0.4903769386820234,0.6937609169675383,0.6196941021126761,0.7638888888888888,0.5297886911850878,0.4745717026817122,0.5879402801042248,0.6884704198167998,0.6469497436044082,0.7302535095396784,Gemini-Pro-Vision,Gemini Pro Vision,P7
one_word_P8,0.6976699346405228,0.6633578431372549,0.7336601307189542,0.5159903266555319,0.44292570625877953,0.5923753569075335,0.7603859485239141,0.7216268128555963,0.7981666632763075,0.4262321348209151,0.3607224810513872,0.49451127819548873,0.5159903266555319,0.44292570625877953,0.5923753569075335,0.466085790380007,0.4023385565052232,0.5263231608432847,0.638188137589723,0.5953010774944616,0.6807283351927242,Gemini-Pro-Vision,Gemini Pro Vision,P8
one_word_P2,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPT-4V,GPT-4 with Vision,P2
one_word_P3,0.7895384615384615,0.717948717948718,0.8632478632478633,0.049972602205719946,0,0.1601666666666665,0.9480791819299433,0.8999747474747475,0.9891333567087424,0.16836239336239336,0,0.5,0.049972602205719946,0,0.1601666666666665,0.1142843585762747,0.058823529411764705,0.25,0.49902589206783166,0.4583333333333333,0.558096342267385,GPT-4V,GPT-4 with Vision,P3
one_word_P4,0.6648904109589041,0.6164383561643836,0.7095890410958904,0.37688932759260596,0.2826023017902813,0.472542242703533,0.7635928032192396,0.7168443116023762,0.8074329501915709,0.353492697433621,0.25737307773330526,0.44557098913774873,0.37688932759260596,0.2826023017902813,0.472542242703533,0.36375208296415346,0.2727272727272727,0.45226130653266333,0.5702410654059228,0.5158195379276057,0.6242313587215734,GPT-4V,GPT-4 with Vision,P4
one_word_P5,0.760125,0.7067887931034482,0.8146551724137931,0.05479390901914108,0,0.12244897959183673,0.9776755535223256,0.9542857142857143,0.9946531175332802,0.43123782568227015,0,0.8333333333333334,0.05479390901914108,0,0.12244897959183673,0.10078590820239654,0.03076923076923077,0.20354548599100658,0.5162347312707334,0.48670592926997097,0.5506534888124269,GPT-4V,GPT-4 with Vision,P5
one_word_P6,0.6916583333333334,0.6083333333333333,0.775,0.058902323581500673,0,0.1515734265734265,0.9420523275049658,0.8863636363636364,0.9880987394957984,0.2870623453956787,0,0.6666666666666666,0.058902323581500673,0,0.1515734265734265,0.10854016375014619,0.04347826086956522,0.2328349944629012,0.5004773255432332,0.46031520562770567,0.549697204968944,GPT-4V,GPT-4 with Vision,P6
one_word_P7,0.6040690376569038,0.5606694560669456,0.6485355648535565,0.5184165510790207,0.4297520661157025,0.6097664324100868,0.6348922012753564,0.5846777755963483,0.686065678507539,0.33842903161302024,0.27318416119962513,0.4074177529484792,0.5184165510790207,0.4297520661157025,0.6097664324100868,0.408796618017892,0.341927469445001,0.47649630715179986,0.5766543761771885,0.5256787653615959,0.6292658188484652,GPT-4V,GPT-4 with Vision,P7
one_word_P8,0.5623116883116883,0.5243506493506493,0.599025974025974,0.6012465272908897,0.5272727272727272,0.6733449197860962,0.5484469533051984,0.5031692857609904,0.5919407352662119,0.3222496497409809,0.27131718608852756,0.375,0.6012465272908897,0.5272727272727272,0.6733449197860962,0.41905202576892064,0.36562019920440325,0.47459202969603587,0.5748467402980441,0.5323658873732903,0.6179728352911732,GPT-4V,GPT-4 with Vision,P8
